"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[373, 509, 189857, 188976, 3, 1, 251968]",189857,188976,3,6,0,
"[373, 521, 194333, 193440, 3, 1, 257920]",194333,193440,3,6,0,
"[373, 523, 195079, 194184, 3, 1, 258912]",195079,194184,3,6,0,
"[373, 541, 201793, 200880, 3, 1, 267840]",201793,200880,3,6,0,
"[379, 383, 145157, 144396, 3, 1, 192528]",145157,144396,3,6,0,
"[379, 383, 145157, 144396, 5, 4, 115517]",145157,144396,5,6,0,
"[379, 383, 145157, 144396, 17, 9, 76445]",145157,144396,17,6,0,
"[379, 383, 145157, 144396, 257, 115, 64613]",145157,144396,257,6,0,
"[379, 383, 145157, 144396, 65537, 55398, 122057]",145157,144396,65537,6,0,
"[379, 389, 147431, 146664, 3, 1, 195552]",147431,146664,3,6,0,
"[379, 397, 150463, 149688, 3, 1, 199584]",150463,149688,3,6,0,
"[379, 401, 151979, 151200, 3, 1, 201600]",151979,151200,3,6,0,
"[379, 409, 155011, 154224, 3, 1, 205632]",155011,154224,3,6,0,
"[379, 419, 158801, 158004, 3, 1, 210672]",158801,158004,3,6,0,
"[379, 419, 158801, 158004, 5, 1, 31601]",158801,158004,5,6,0,
"[379, 419, 158801, 158004, 17, 14, 130121]",158801,158004,17,6,0,
"[379, 419, 158801, 158004, 257, 126, 77465]",158801,158004,257,6,0,
"[379, 419, 158801, 158004, 65537, 15193, 36629]",158801,158004,65537,6,0,
"[379, 421, 159559, 158760, 3, 1, 211680]",159559,158760,3,6,0,
"[379, 431, 163349, 162540, 3, 1, 216720]",163349,162540,3,6,0,
"[379, 431, 163349, 162540, 5, 1, 195048]",163349,162540,5,6,0,
"[379, 431, 163349, 162540, 17, 11, 105173]",163349,162540,17,6,0,
"[379, 431, 163349, 162540, 257, 144, 91073]",163349,162540,257,6,0,
"[379, 431, 163349, 162540, 65537, 25133, 62333]",163349,162540,65537,6,0,
"[379, 433, 164107, 163296, 3, 1, 217728]",164107,163296,3,6,0,
"[379, 439, 166381, 165564, 3, 1, 220752]",166381,165564,3,6,0,
"[379, 439, 166381, 165564, 5, 1, 33113]",166381,165564,5,6,0,
"[379, 439, 166381, 165564, 17, 16, 155825]",166381,165564,17,6,0,
"[379, 439, 166381, 165564, 257, 78, 50249]",166381,165564,257,6,0,
"[379, 439, 166381, 165564, 65537, 14200, 35873]",166381,165564,65537,6,0,
"[379, 443, 167897, 167076, 3, 1, 222768]",167897,167076,3,6,0,
"[379, 443, 167897, 167076, 5, 4, 133661]",167897,167076,5,6,0,
"[379, 443, 167897, 167076, 17, 1, 176904]",167897,167076,17,6,0,
"[379, 443, 167897, 167076, 257, 168, 109217]",167897,167076,257,6,0,
"[379, 443, 167897, 167076, 65537, 60926, 155321]",167897,167076,65537,6,0,
"[379, 449, 170171, 169344, 3, 1, 225792]",170171,169344,3,6,0,
"[379, 457, 173203, 172368, 3, 1, 229824]",173203,172368,3,6,0,
"[379, 461, 174719, 173880, 3, 1, 231840]",174719,173880,3,6,0,
"[379, 463, 175477, 174636, 3, 1, 232848]",175477,174636,3,6,0,
"[379, 463, 175477, 174636, 5, 4, 139709]",175477,174636,5,6,0,
"[379, 463, 175477, 174636, 17, 7, 71909]",175477,174636,17,6,0,
"[379, 463, 175477, 174636, 257, 114, 77465]",175477,174636,257,6,0,
"[379, 463, 175477, 174636, 65537, 63679, 169685]",175477,174636,65537,6,0,
"[379, 467, 176993, 176148, 3, 1, 234864]",176993,176148,3,6,0,
"[379, 467, 176993, 176148, 5, 3, 105689]",176993,176148,5,6,0,
"[379, 467, 176993, 176148, 17, 3, 31085]",176993,176148,17,6,0,
"[379, 467, 176993, 176148, 257, 252, 172721]",176993,176148,257,6,0,
"[379, 467, 176993, 176148, 65537, 18691, 50237]",176993,176148,65537,6,0,
"[379, 479, 181541, 180684, 3, 1, 240912]",181541,180684,3,6,0,
"[379, 479, 181541, 180684, 5, 1, 36137]",181541,180684,5,6,0,
"[379, 479, 181541, 180684, 17, 2, 21257]",181541,180684,17,6,0,
"[379, 479, 181541, 180684, 257, 79, 55541]",181541,180684,257,6,0,
"[379, 479, 181541, 180684, 65537, 35223, 97109]",181541,180684,65537,6,0,
"[379, 487, 184573, 183708, 3, 1, 244944]",184573,183708,3,6,0,
"[379, 487, 184573, 183708, 5, 3, 110225]",184573,183708,5,6,0,
"[379, 487, 184573, 183708, 17, 14, 151289]",184573,183708,17,6,0,
"[379, 487, 184573, 183708, 257, 175, 125093]",184573,183708,257,6,0,
"[379, 487, 184573, 183708, 65537, 33025, 92573]",184573,183708,65537,6,0,
"[379, 491, 186089, 185220, 3, 1, 246960]",186089,185220,3,6,0,
"[379, 491, 186089, 185220, 5, 1, 222264]",186089,185220,5,6,0,
"[379, 491, 186089, 185220, 17, 10, 108953]",186089,185220,17,6,0,
"[379, 491, 186089, 185220, 257, 247, 178013]",186089,185220,257,6,0,
"[379, 491, 186089, 185220, 65537, 20718, 58553]",186089,185220,65537,6,0,
"[379, 499, 189121, 188244, 3, 1, 250992]",189121,188244,3,6,0,
"[379, 499, 189121, 188244, 5, 1, 37649]",189121,188244,5,6,0,
"[379, 499, 189121, 188244, 17, 11, 121805]",189121,188244,17,6,0,
"[379, 499, 189121, 188244, 257, 242, 177257]",189121,188244,257,6,0,
"[379, 499, 189121, 188244, 65537, 26702, 76697]",189121,188244,65537,6,0,
"[379, 503, 190637, 189756, 3, 1, 253008]",190637,189756,3,6,0,
"[379, 503, 190637, 189756, 5, 4, 151805]",190637,189756,5,6,0,
"[379, 503, 190637, 189756, 17, 8, 89297]",190637,189756,17,6,0,
"[379, 503, 190637, 189756, 257, 237, 174989]",190637,189756,257,6,0,
"[379, 503, 190637, 189756, 65537, 38500, 111473]",190637,189756,65537,6,0,
"[379, 509, 192911, 192024, 3, 1, 256032]",192911,192024,3,6,0,
"[379, 521, 197459, 196560, 3, 1, 262080]",197459,196560,3,6,0,
"[379, 523, 198217, 197316, 3, 1, 263088]",198217,197316,3,6,0,
"[379, 523, 198217, 197316, 5, 4, 157853]",198217,197316,5,6,0,
"[379, 523, 198217, 197316, 17, 6, 69641]",198217,197316,17,6,0,
"[379, 523, 198217, 197316, 257, 30, 23033]",198217,197316,257,6,0,
"[379, 523, 198217, 197316, 65537, 39787, 119789]",198217,197316,65537,6,0,
"[379, 541, 205039, 204120, 3, 1, 272160]",205039,204120,3,6,0,
"[383, 389, 148987, 148216, 3, 2, 98811]",148987,148216,3,6,0,
"[383, 397, 152051, 151272, 3, 1, 201696]",152051,151272,3,6,0,
"[383, 401, 153583, 152800, 3, 2, 101867]",153583,152800,3,6,0,
"[383, 409, 156647, 155856, 3, 1, 207808]",156647,155856,3,6,0,
"[383, 419, 160477, 159676, 3, 2, 106451]",160477,159676,3,6,0,
"[383, 419, 160477, 159676, 5, 4, 127741]",160477,159676,5,6,0,
"[383, 419, 160477, 159676, 17, 7, 65749]",160477,159676,17,6,0,
"[383, 419, 160477, 159676, 257, 13, 8077]",160477,159676,257,6,0,
"[383, 419, 160477, 159676, 65537, 61699, 150325]",160477,159676,65537,6,0,
"[383, 421, 161243, 160440, 3, 1, 213920]",161243,160440,3,6,0,
"[383, 431, 165073, 164260, 3, 2, 109507]",165073,164260,3,6,0,
"[383, 431, 165073, 164260, 5, 1, 197112]",165073,164260,5,6,0,
"[383, 431, 165073, 164260, 17, 14, 135273]",165073,164260,17,6,0,
"[383, 431, 165073, 164260, 257, 125, 79893]",165073,164260,257,6,0,
"[383, 431, 165073, 164260, 65537, 49918, 125113]",165073,164260,65537,6,0,
"[383, 433, 165839, 165024, 3, 1, 220032]",165839,165024,3,6,0,
"[383, 439, 168137, 167316, 3, 1, 223088]",168137,167316,3,6,0,
"[383, 439, 168137, 167316, 5, 4, 133853]",168137,167316,5,6,0,
"[383, 439, 168137, 167316, 17, 8, 78737]",168137,167316,17,6,0,
"[383, 439, 168137, 167316, 257, 57, 37109]",168137,167316,257,6,0,
"[383, 439, 168137, 167316, 65537, 48707, 124349]",168137,167316,65537,6,0,
"[383, 443, 169669, 168844, 3, 2, 112563]",169669,168844,3,6,0,
"[383, 443, 169669, 168844, 5, 1, 33769]",169669,168844,5,6,0,
"[383, 443, 169669, 168844, 17, 1, 178776]",169669,168844,17,6,0,
"[383, 443, 169669, 168844, 257, 103, 67669]",169669,168844,257,6,0,
"[383, 443, 169669, 168844, 65537, 43818, 112889]",169669,168844,65537,6,0,
"[383, 449, 171967, 171136, 3, 2, 114091]",171967,171136,3,6,0,
"[383, 457, 175031, 174192, 3, 1, 232256]",175031,174192,3,6,0,
"[383, 461, 176563, 175720, 3, 2, 117147]",176563,175720,3,6,0,
"[383, 463, 177329, 176484, 3, 1, 235312]",177329,176484,3,6,0,
"[383, 463, 177329, 176484, 5, 1, 35297]",177329,176484,5,6,0,
"[383, 463, 177329, 176484, 17, 12, 124577]",177329,176484,17,6,0,
"[383, 463, 177329, 176484, 257, 24, 16481]",177329,176484,257,6,0,
"[383, 463, 177329, 176484, 65537, 21494, 57881]",177329,176484,65537,6,0,
"[383, 467, 178861, 178012, 3, 2, 118675]",178861,178012,3,6,0,
"[383, 467, 178861, 178012, 5, 2, 71205]",178861,178012,5,6,0,
"[383, 467, 178861, 178012, 17, 10, 104713]",178861,178012,17,6,0,
"[383, 467, 178861, 178012, 257, 26, 18009]",178861,178012,257,6,0,
"[383, 467, 178861, 178012, 65537, 1339, 3637]",178861,178012,65537,6,0,
"[383, 479, 183457, 182596, 3, 2, 121731]",183457,182596,3,6,0,
"[383, 479, 183457, 182596, 5, 4, 146077]",183457,182596,5,6,0,
"[383, 479, 183457, 182596, 17, 1, 10741]",183457,182596,17,6,0,
"[383, 479, 183457, 182596, 257, 206, 146361]",183457,182596,257,6,0,
"[383, 479, 183457, 182596, 65537, 9806, 27321]",183457,182596,65537,6,0,
"[383, 487, 186521, 185652, 3, 1, 247536]",186521,185652,3,6,0,
"[383, 487, 186521, 185652, 5, 2, 74261]",186521,185652,5,6,0,
"[383, 487, 186521, 185652, 17, 7, 76445]",186521,185652,17,6,0,
"[383, 487, 186521, 185652, 257, 118, 85241]",186521,185652,257,6,0,
"[383, 487, 186521, 185652, 65537, 64933, 183941]",186521,185652,65537,6,0,
"[383, 491, 188053, 187180, 3, 2, 124787]",188053,187180,3,6,0,
"[383, 491, 188053, 187180, 5, 1, 224616]",188053,187180,5,6,0,
"[383, 491, 188053, 187180, 17, 5, 55053]",188053,187180,17,6,0,
"[383, 491, 188053, 187180, 257, 52, 37873]",188053,187180,257,6,0,
"[383, 491, 188053, 187180, 65537, 55843, 159493]",188053,187180,65537,6,0,
"[383, 499, 191117, 190236, 3, 1, 253648]",191117,190236,3,6,0,
"[383, 499, 191117, 190236, 5, 4, 152189]",191117,190236,5,6,0,
"[383, 499, 191117, 190236, 17, 14, 156665]",191117,190236,17,6,0,
"[383, 499, 191117, 190236, 257, 78, 57737]",191117,190236,257,6,0,
"[383, 499, 191117, 190236, 65537, 14413, 41837]",191117,190236,65537,6,0,
"[383, 503, 192649, 191764, 3, 2, 127843]",192649,191764,3,6,0,
"[383, 503, 192649, 191764, 5, 1, 38353]",192649,191764,5,6,0,
"[383, 503, 192649, 191764, 17, 4, 45121]",192649,191764,17,6,0,
"[383, 503, 192649, 191764, 257, 104, 77601]",192649,191764,257,6,0,
"[383, 503, 192649, 191764, 65537, 46675, 136573]",192649,191764,65537,6,0,
"[383, 509, 194947, 194056, 3, 2, 129371]",194947,194056,3,6,0,
"[383, 521, 199543, 198640, 3, 2, 132427]",199543,198640,3,6,0,
"[383, 523, 200309, 199404, 3, 1, 265872]",200309,199404,3,6,0,
"[383, 523, 200309, 199404, 5, 1, 39881]",200309,199404,5,6,0,
"[383, 523, 200309, 199404, 17, 3, 35189]",200309,199404,17,6,0,
"[383, 523, 200309, 199404, 257, 101, 78365]",200309,199404,257,6,0,
"[383, 523, 200309, 199404, 65537, 35596, 108305]",200309,199404,65537,6,0,
"[383, 541, 207203, 206280, 3, 1, 275040]",207203,206280,3,6,0,
"[389, 397, 154433, 153648, 3, 1, 204864]",154433,153648,3,6,0,
"[389, 401, 155989, 155200, 3, 2, 103467]",155989,155200,3,6,0,
"[389, 409, 159101, 158304, 3, 1, 211072]",159101,158304,3,6,0,
"[389, 419, 162991, 162184, 3, 2, 108123]",162991,162184,3,6,0,
"[389, 421, 163769, 162960, 3, 1, 217280]",163769,162960,3,6,0,
"[389, 431, 167659, 166840, 3, 2, 111227]",167659,166840,3,6,0,
"[389, 433, 168437, 167616, 3, 1, 223488]",168437,167616,3,6,0,
"[389, 439, 170771, 169944, 3, 1, 226592]",170771,169944,3,6,0,
"[389, 443, 172327, 171496, 3, 2, 114331]",172327,171496,3,6,0,
"[389, 449, 174661, 173824, 3, 2, 115883]",174661,173824,3,6,0,
"[389, 457, 177773, 176928, 3, 1, 235904]",177773,176928,3,6,0,
"[389, 461, 179329, 178480, 3, 2, 118987]",179329,178480,3,6,0,
"[389, 463, 180107, 179256, 3, 1, 239008]",180107,179256,3,6,0,
"[389, 467, 181663, 180808, 3, 2, 120539]",181663,180808,3,6,0,
"[389, 479, 186331, 185464, 3, 2, 123643]",186331,185464,3,6,0,
"[389, 487, 189443, 188568, 3, 1, 251424]",189443,188568,3,6,0,
"[389, 491, 190999, 190120, 3, 2, 126747]",190999,190120,3,6,0,
"[389, 499, 194111, 193224, 3, 1, 257632]",194111,193224,3,6,0,
"[389, 503, 195667, 194776, 3, 2, 129851]",195667,194776,3,6,0,
"[389, 509, 198001, 197104, 3, 2, 131403]",198001,197104,3,6,0,
"[389, 521, 202669, 201760, 3, 2, 134507]",202669,201760,3,6,0,
"[389, 523, 203447, 202536, 3, 1, 270048]",203447,202536,3,6,0,
"[389, 541, 210449, 209520, 3, 1, 279360]",210449,209520,3,6,0,
"[397, 401, 159197, 158400, 3, 1, 211200]",159197,158400,3,6,0,
"[397, 409, 162373, 161568, 3, 1, 215424]",162373,161568,3,6,0,
"[397, 419, 166343, 165528, 3, 1, 220704]",166343,165528,3,6,0,
"[397, 421, 167137, 166320, 3, 1, 221760]",167137,166320,3,6,0,
"[397, 431, 171107, 170280, 3, 1, 227040]",171107,170280,3,6,0,
"[397, 433, 171901, 171072, 3, 1, 228096]",171901,171072,3,6,0,
"[397, 439, 174283, 173448, 3, 1, 231264]",174283,173448,3,6,0,
"[397, 443, 175871, 175032, 3, 1, 233376]",175871,175032,3,6,0,
"[397, 449, 178253, 177408, 3, 1, 236544]",178253,177408,3,6,0,
"[397, 457, 181429, 180576, 3, 1, 240768]",181429,180576,3,6,0,
"[397, 461, 183017, 182160, 3, 1, 242880]",183017,182160,3,6,0,
"[397, 463, 183811, 182952, 3, 1, 243936]",183811,182952,3,6,0,
"[397, 467, 185399, 184536, 3, 1, 246048]",185399,184536,3,6,0,
"[397, 479, 190163, 189288, 3, 1, 252384]",190163,189288,3,6,0,
"[397, 487, 193339, 192456, 3, 1, 256608]",193339,192456,3,6,0,
"[397, 491, 194927, 194040, 3, 1, 258720]",194927,194040,3,6,0,
"[397, 499, 198103, 197208, 3, 1, 262944]",198103,197208,3,6,0,
"[397, 503, 199691, 198792, 3, 1, 265056]",199691,198792,3,6,0,
"[397, 509, 202073, 201168, 3, 1, 268224]",202073,201168,3,6,0,
"[397, 521, 206837, 205920, 3, 1, 274560]",206837,205920,3,6,0,
"[397, 523, 207631, 206712, 3, 1, 275616]",207631,206712,3,6,0,
"[397, 541, 214777, 213840, 3, 1, 285120]",214777,213840,3,6,0,
"[401, 409, 164009, 163200, 3, 1, 217600]",164009,163200,3,6,0,
"[401, 419, 168019, 167200, 3, 2, 111467]",168019,167200,3,6,0,
"[401, 421, 168821, 168000, 3, 1, 224000]",168821,168000,3,6,0,
"[401, 431, 172831, 172000, 3, 2, 114667]",172831,172000,3,6,0,
"[401, 433, 173633, 172800, 3, 1, 230400]",173633,172800,3,6,0,
"[401, 439, 176039, 175200, 3, 1, 233600]",176039,175200,3,6,0,
"[401, 443, 177643, 176800, 3, 2, 117867]",177643,176800,3,6,0,
"[401, 449, 180049, 179200, 3, 2, 119467]",180049,179200,3,6,0,
"[401, 457, 183257, 182400, 3, 1, 243200]",183257,182400,3,6,0,
"[401, 461, 184861, 184000, 3, 2, 122667]",184861,184000,3,6,0,
"[401, 463, 185663, 184800, 3, 1, 246400]",185663,184800,3,6,0,
"[401, 467, 187267, 186400, 3, 2, 124267]",187267,186400,3,6,0,
"[401, 479, 192079, 191200, 3, 2, 127467]",192079,191200,3,6,0,
"[401, 487, 195287, 194400, 3, 1, 259200]",195287,194400,3,6,0,
"[401, 491, 196891, 196000, 3, 2, 130667]",196891,196000,3,6,0,
"[401, 499, 200099, 199200, 3, 1, 265600]",200099,199200,3,6,0,
"[401, 503, 201703, 200800, 3, 2, 133867]",201703,200800,3,6,0,
"[401, 509, 204109, 203200, 3, 2, 135467]",204109,203200,3,6,0,
"[401, 521, 208921, 208000, 3, 2, 138667]",208921,208000,3,6,0,
"[401, 523, 209723, 208800, 3, 1, 278400]",209723,208800,3,6,0,
"[401, 541, 216941, 216000, 3, 1, 288000]",216941,216000,3,6,0,
"[409, 419, 171371, 170544, 3, 1, 227392]",171371,170544,3,6,0,
"[409, 421, 172189, 171360, 3, 1, 228480]",172189,171360,3,6,0,
"[409, 431, 176279, 175440, 3, 1, 233920]",176279,175440,3,6,0,
"[409, 433, 177097, 176256, 3, 1, 235008]",177097,176256,3,6,0,
"[409, 439, 179551, 178704, 3, 1, 238272]",179551,178704,3,6,0,
"[409, 443, 181187, 180336, 3, 1, 240448]",181187,180336,3,6,0,
"[409, 449, 183641, 182784, 3, 1, 243712]",183641,182784,3,6,0,
"[409, 457, 186913, 186048, 3, 1, 248064]",186913,186048,3,6,0,
"[409, 461, 188549, 187680, 3, 1, 250240]",188549,187680,3,6,0,
"[409, 463, 189367, 188496, 3, 1, 251328]",189367,188496,3,6,0,
"[409, 467, 191003, 190128, 3, 1, 253504]",191003,190128,3,6,0,
"[409, 479, 195911, 195024, 3, 1, 260032]",195911,195024,3,6,0,
"[409, 487, 199183, 198288, 3, 1, 264384]",199183,198288,3,6,0,
"[409, 491, 200819, 199920, 3, 1, 266560]",200819,199920,3,6,0,
"[409, 499, 204091, 203184, 3, 1, 270912]",204091,203184,3,6,0,
"[409, 503, 205727, 204816, 3, 1, 273088]",205727,204816,3,6,0,
"[409, 509, 208181, 207264, 3, 1, 276352]",208181,207264,3,6,0,
"[409, 521, 213089, 212160, 3, 1, 282880]",213089,212160,3,6,0,
"[409, 523, 213907, 212976, 3, 1, 283968]",213907,212976,3,6,0,
"[409, 541, 221269, 220320, 3, 1, 293760]",221269,220320,3,6,0,
"[419, 421, 176399, 175560, 3, 1, 234080]",176399,175560,3,6,0,
"[419, 431, 180589, 179740, 3, 2, 119827]",180589,179740,3,6,0,
"[419, 431, 180589, 179740, 5, 1, 215688]",180589,179740,5,6,0,
"[419, 431, 180589, 179740, 17, 1, 10573]",180589,179740,17,6,0,
"[419, 431, 180589, 179740, 257, 204, 142673]",180589,179740,257,6,0,
"[419, 431, 180589, 179740, 65537, 14575, 39973]",180589,179740,65537,6,0,
"[419, 433, 181427, 180576, 3, 1, 240768]",181427,180576,3,6,0,
"[419, 439, 183941, 183084, 3, 1, 244112]",183941,183084,3,6,0,
"[419, 439, 183941, 183084, 5, 1, 36617]",183941,183084,5,6,0,
"[419, 439, 183941, 183084, 17, 3, 32309]",183941,183084,17,6,0,
"[419, 439, 183941, 183084, 257, 239, 170261]",183941,183084,257,6,0,
"[419, 439, 183941, 183084, 65537, 12214, 34121]",183941,183084,65537,6,0,
"[419, 443, 185617, 184756, 3, 2, 123171]",185617,184756,3,6,0,
"[419, 443, 185617, 184756, 5, 4, 147805]",185617,184756,5,6,0,
"[419, 443, 185617, 184756, 17, 1, 195624]",185617,184756,17,6,0,
"[419, 443, 185617, 184756, 257, 238, 171097]",185617,184756,257,6,0,
"[419, 443, 185617, 184756, 65537, 49765, 140293]",185617,184756,65537,6,0,
"[419, 449, 188131, 187264, 3, 2, 124843]",188131,187264,3,6,0,
"[419, 457, 191483, 190608, 3, 1, 254144]",191483,190608,3,6,0,
"[419, 461, 193159, 192280, 3, 2, 128187]",193159,192280,3,6,0,
"[419, 463, 193997, 193116, 3, 1, 257488]",193997,193116,3,6,0,
"[419, 463, 193997, 193116, 5, 4, 154493]",193997,193116,5,6,0,
"[419, 463, 193997, 193116, 17, 13, 147677]",193997,193116,17,6,0,
"[419, 463, 193997, 193116, 257, 33, 24797]",193997,193116,257,6,0,
"[419, 463, 193997, 193116, 65537, 54136, 159521]",193997,193116,65537,6,0,
"[419, 467, 195673, 194788, 3, 2, 129859]",195673,194788,3,6,0,
"[419, 467, 195673, 194788, 5, 3, 116873]",195673,194788,5,6,0,
"[419, 467, 195673, 194788, 17, 8, 91665]",195673,194788,17,6,0,
"[419, 467, 195673, 194788, 257, 100, 75793]",195673,194788,257,6,0,
"[419, 467, 195673, 194788, 65537, 21606, 64217]",195673,194788,65537,6,0,
"[419, 479, 200701, 199804, 3, 2, 133203]",200701,199804,3,6,0,
"[419, 479, 200701, 199804, 5, 1, 39961]",200701,199804,5,6,0,
"[419, 479, 200701, 199804, 17, 11, 129285]",200701,199804,17,6,0,
"[419, 479, 200701, 199804, 257, 219, 170261]",200701,199804,257,6,0,
"[419, 479, 200701, 199804, 65537, 4885, 14893]",200701,199804,65537,6,0,
"[419, 487, 204053, 203148, 3, 1, 270864]",204053,203148,3,6,0,
"[419, 487, 204053, 203148, 5, 3, 121889]",204053,203148,5,6,0,
"[419, 487, 204053, 203148, 17, 9, 107549]",204053,203148,17,6,0,
"[419, 487, 204053, 203148, 257, 98, 77465]",204053,203148,257,6,0,
"[419, 487, 204053, 203148, 65537, 62790, 194633]",204053,203148,65537,6,0,
"[419, 491, 205729, 204820, 3, 2, 136547]",205729,204820,3,6,0,
"[419, 491, 205729, 204820, 5, 1, 245784]",205729,204820,5,6,0,
"[419, 491, 205729, 204820, 17, 4, 48193]",205729,204820,17,6,0,
"[419, 491, 205729, 204820, 257, 200, 159393]",205729,204820,257,6,0,
"[419, 491, 205729, 204820, 65537, 52915, 165373]",205729,204820,65537,6,0,
"[419, 499, 209081, 208164, 3, 1, 277552]",209081,208164,3,6,0,
"[419, 499, 209081, 208164, 5, 1, 41633]",209081,208164,5,6,0,
"[419, 499, 209081, 208164, 17, 1, 12245]",209081,208164,17,6,0,
"[419, 499, 209081, 208164, 257, 43, 34829]",209081,208164,257,6,0,
"[419, 499, 209081, 208164, 65537, 65225, 207173]",209081,208164,65537,6,0,
"[419, 503, 210757, 209836, 3, 2, 139891]",210757,209836,3,6,0,
"[419, 503, 210757, 209836, 5, 4, 167869]",210757,209836,5,6,0,
"[419, 503, 210757, 209836, 17, 10, 123433]",210757,209836,17,6,0,
"[419, 503, 210757, 209836, 257, 143, 116757]",210757,209836,257,6,0,
"[419, 503, 210757, 209836, 65537, 58961, 188781]",210757,209836,65537,6,0,
"[419, 509, 213271, 212344, 3, 2, 141563]",213271,212344,3,6,0,
"[419, 521, 218299, 217360, 3, 2, 144907]",218299,217360,3,6,0,
"[419, 523, 219137, 218196, 3, 1, 290928]",219137,218196,3,6,0,
"[419, 523, 219137, 218196, 5, 4, 174557]",219137,218196,5,6,0,
"[419, 523, 219137, 218196, 17, 16, 205361]",219137,218196,17,6,0,
"[419, 523, 219137, 218196, 257, 171, 145181]",219137,218196,257,6,0,
"[419, 523, 219137, 218196, 65537, 29081, 96821]",219137,218196,65537,6,0,
"[419, 541, 226679, 225720, 3, 1, 300960]",226679,225720,3,6,0,
"[421, 431, 181451, 180600, 3, 1, 240800]",181451,180600,3,6,0,
"[421, 433, 182293, 181440, 3, 1, 241920]",182293,181440,3,6,0,
"[421, 439, 184819, 183960, 3, 1, 245280]",184819,183960,3,6,0,
"[421, 443, 186503, 185640, 3, 1, 247520]",186503,185640,3,6,0,
"[421, 449, 189029, 188160, 3, 1, 250880]",189029,188160,3,6,0,
"[421, 457, 192397, 191520, 3, 1, 255360]",192397,191520,3,6,0,
"[421, 461, 194081, 193200, 3, 1, 257600]",194081,193200,3,6,0,
"[421, 463, 194923, 194040, 3, 1, 258720]",194923,194040,3,6,0,
"[421, 467, 196607, 195720, 3, 1, 260960]",196607,195720,3,6,0,
"[421, 479, 201659, 200760, 3, 1, 267680]",201659,200760,3,6,0,
"[421, 487, 205027, 204120, 3, 1, 272160]",205027,204120,3,6,0,
"[421, 491, 206711, 205800, 3, 1, 274400]",206711,205800,3,6,0,
"[421, 499, 210079, 209160, 3, 1, 278880]",210079,209160,3,6,0,
"[421, 503, 211763, 210840, 3, 1, 281120]",211763,210840,3,6,0,
"[421, 509, 214289, 213360, 3, 1, 284480]",214289,213360,3,6,0,
"[421, 521, 219341, 218400, 3, 1, 291200]",219341,218400,3,6,0,
"[421, 523, 220183, 219240, 3, 1, 292320]",220183,219240,3,6,0,
"[421, 541, 227761, 226800, 3, 1, 302400]",227761,226800,3,6,0,
"[431, 433, 186623, 185760, 3, 1, 247680]",186623,185760,3,6,0,
"[431, 439, 189209, 188340, 3, 1, 251120]",189209,188340,3,6,0,
"[431, 439, 189209, 188340, 5, 1, 226008]",189209,188340,5,6,0,
"[431, 439, 189209, 188340, 17, 6, 66473]",189209,188340,17,6,0,
"[431, 439, 189209, 188340, 257, 163, 119453]",189209,188340,257,6,0,
"[431, 439, 189209, 188340, 65537, 41441, 119093]",189209,188340,65537,6,0,
"[431, 443, 190933, 190060, 3, 2, 126707]",190933,190060,3,6,0,
"[431, 443, 190933, 190060, 5, 1, 228072]",190933,190060,5,6,0,
